
2025/01/05 (23:41:45) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/tokyo-night.theme
2025/01/05 (23:41:46) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/horizon.theme
2025/01/05 (23:41:56) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/horizon.theme
2025/01/05 (23:41:57) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/horizon.theme
2025/01/05 (23:41:57) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/horizon.theme
2025/01/05 (23:41:57) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/horizon.theme
2025/01/05 (23:42:00) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/tokyo-night.theme
2025/01/05 (23:42:00) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2025/01/05 (23:42:00) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/tomorrow-night.theme
2025/01/05 (23:42:01) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/solarized_dark.theme
2025/01/05 (23:42:01) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/tomorrow-night.theme
2025/01/05 (23:42:01) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2025/01/05 (23:42:03) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/tokyo-night.theme
2025/01/05 (23:42:04) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/tokyo-night.theme
2025/01/05 (23:42:05) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/horizon.theme
2025/01/05 (23:42:05) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/tokyo-night.theme
